"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 115건","","","","699,246","","",""
"1","소스","시즈오카현","2018-04-11","960","불검출","불검출","적합"
"2","과자","사이타마현","2017-11-13","2,517","불검출","불검출","적합"
"3","혼합제제","시즈오카현","2018-03-30","1,850","불검출","불검출","적합"
"4","소스","시즈오카현","2018-04-11","864","불검출","불검출","적합"
"5","건면","아이치현","2018-02-26","2,784","불검출","불검출","적합"
"6","양조간장","효고현","2018-03-15","29,594","불검출","불검출","적합"
"7","카레(커리)","오카야마현","2018-02-28","19","불검출","불검출","적합"
"8","카레(커리)","오카야마현","2018-02-15","20","불검출","불검출","적합"
"9","소스","지바현","2018-03-13","1,016","불검출","불검출","적합"
"10","양조간장","지바현","2018-03-30","8,725","불검출","불검출","적합"
"11","양조간장","지바현","2018-04-02","5,990","불검출","불검출","적합"
"12","소스","지바현","2017-06-13","134","불검출","불검출","적합"
"13","양조간장","지바현","2018-01-31","1,430","불검출","불검출","적합"
