"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:100Bq/kg)","",""
"총 143건","","","","267,538","","",""
"1","소스","야마가타현","2019-04-09","300","불검출","불검출","적합"
"2","소스","에히메현","2019-05-21","1,800","불검출","불검출","적합"
"3","기타천연착향료","이바라키현","2019-04-24","200","불검출","불검출","적합"
"4","혼합제제","오사카부","2019-04-03","880","불검출","불검출","적합"
"5","기타천연착향료","사이타마현","2019-05-10","50","불검출","불검출","적합"
"6","혼합제제","히로시마현","2019-04-23","180","불검출","불검출","적합"
"7","기타천연착향료","시즈오카현","2019-04-08","1,020","불검출","불검출","적합"
"8","혼합제제","오사카부","2019-02-27","660","불검출","불검출","적합"
"9","기타천연착향료","사이타마현","2019-05-15","600","불검출","불검출","적합"
"10","혼합제제","히로시마현","2019-04-24","150","불검출","불검출","적합"
"11","향신료조제품","도쿄도","2019-04-19","36","불검출","불검출","적합"
"12","소스","후쿠오카현","2019-04-19","320","불검출","불검출","적합"
"13","말토트리오
히드로라아제","시가현","2019-03-21","336","불검출","불검출","적합"
"14","소스","후쿠오카현","2019-04-15","140","불검출","불검출","적합"
