"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 184건","","","","247,181","","",""
"1","캔디류","군마현","2018-02-06","2,496","불검출","불검출","적합"
"2","기타천연착향료","오카야마현","2018-03-23","180","불검출","불검출","적합"
"3","혼합제제","오카야마현","2018-03-26","30","불검출","불검출","적합"
"4","혼합제제","오카야마현","2018-04-03","105","불검출","불검출","적합"
"5","혼합제제","오사카부","2018-04-02","210","불검출","불검출","적합"
"6","과자","히로시마현","2018-03-05","111","불검출","불검출","적합"
"7","과자","히로시마현","2018-03-06","110","불검출","불검출","적합"
"8","혼합제제","오카야마현","2018-03-26","150","불검출","불검출","적합"
"9","혼합제제","오카야마현","2018-03-28","120","불검출","불검출","적합"
"10","혼합제제","시즈오카현","2018-03-08","400","불검출","불검출","적합"
"11","혼합제제","사이타마현","2018-03-26","612","불검출","불검출","적합"
"12","카레(커리)","니가타현","2018-02-15","396","불검출","불검출","적합"
"13","혼합제제","효고현","2018-04-03","17","불검출","불검출","적합"
