"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 121건","","","","203,246","","",""
"1","떡류","미야자키현","2018-04-03","360","불검출","불검출","적합"
"2","떡류","미야자키현","2018-04-03","360","불검출","불검출","적합"
"3","떡류","미야자키현","2018-04-02","360","불검출","불검출","적합"
"4","떡류","미야자키현","2018-04-04","360","불검출","불검출","적합"
"5","떡류","미야자키현","2018-04-02","360","불검출","불검출","적합"
"6","떡류","미야자키현","2018-04-05","360","불검출","불검출","적합"
"7","떡류","미야자키현","2018-04-05","360","불검출","불검출","적합"
"8","떡류","미야자키현","2018-04-06","360","불검출","불검출","적합"
"9","떡류","미야자키현","2018-04-05","360","불검출","불검출","적합"
"10","떡류","미야자키현","2018-04-04","360","불검출","불검출","적합"
"11","복합조미식품","미에현","2018-03-09","23","불검출","불검출","적합"
"12","청주","효고현","2018-02-06","2,670","불검출","불검출","적합"
"13","캔디류","후쿠시마현","2018-03-30","2,134","불검출","불검출","적합"
