"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 189건","","","","655,787","","",""
"1","혼합제제","오카야마현","2019-01-23","200","불검출","불검출","적합"
"2","카레(커리)","니가타현","2018-11-30","4,224","불검출","불검출","적합"
"3","카레(커리)","니가타현","2018-12-13","840","불검출","불검출","적합"
"4","카레(커리)","니가타현","2019-01-21","3,960","불검출","불검출","적합"
"5","가공두부","교토부","2019-01-18","6,000","불검출","불검출","적합"
"6","혼합음료","미에현","2018-11-08","379","불검출","불검출","적합"
"7","합성향료","가나가와현","2019-01-22","3","불검출","불검출","적합"
"8","캔디류","미에현","2018-12-03","169","불검출","불검출","적합"
"9","혼합음료","미에현","2018-12-05","498","불검출","불검출","적합"
"10","카레(커리)","니가타현","2018-11-29","396","불검출","불검출","적합"
"11","액상차","미에현","2019-01-07","1,200","불검출","불검출","적합"
"12","캔디류","미에현","2018-11-22","169","불검출","불검출","적합"
"13","카레(커리)","니가타현","2018-11-30","792","불검출","불검출","적합"
"14","카레(커리)","니가타현","2018-12-03","396","불검출","불검출","적합"
