"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","67건","","56,034","","",""
"1","과자(비스킷)","니가타현","2014-06-28","77.76","불검출","불검출","적합"
"2","미강유(현미유)","와카야마현","2014-07-24","1,200","불검출","불검출","적합"
"3","캔디류(젤리)","오카야마현","2014-06-23","128.96","불검출","불검출","적합"
"4","볶은커피","효고현","2014-06-04","13.44","불검출","불검출","적합"
"5","볶은커피","효고현","2014-06-16","85.68","불검출","불검출","적합"
"6","인스턴트커피","효고현","2014-01-27","12","불검출","불검출","적합"
"7","볶은커피","시즈오카현","2014-07-04","30.7","불검출","불검출","적합"
"8","볶은커피","시즈오카현","2014-07-04","23.04","불검출","불검출","적합"
"9","식물성크림","오사카부","2014-07-16","110.4","불검출","불검출","적합"
"10","초콜릿","훗카이도","2014-07-31","114","불검출","불검출","적합"
"11","소스류","아이치현","2014-07-16","115.2","불검출","불검출","적합"
"12","혼합제제","효고현","2014-07-31","34","불검출","불검출","적합"
"13","과자(스낵과자)","히로시마현","2014-07-26","64","불검출","불검출","적합"
"14","과자(스낵과자)","히로시마현","2014-07-26","96","불검출","불검출","적합"
"15","과자(비스킷)","아이치현","2014-07-09","159","불검출","불검출","적합"
"16","과자(크래커)","오사카부","2014-07-25","70","불검출","불검출","적합"
"17","고형차","교토부","2014-07-10","600","불검출","불검출","적합"
"18","과자(크래커)","오사카부","2014-07-25","96","불검출","불검출","적합"
"19","과자(스낵과자)","구마모토현","2014-07-25","152","불검출","불검출","적합"
