"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","83건","","502,878","","",""
"1","캔디류(사탕)","오카야마현","2014-07-10","168","불검출","불검출","적합"
"2","당류가공품","아이치현","2014-07-04","319.68","불검출","불검출","적합"
"3","당류가공품","아이치현","2014-07-14","231.55","불검출","불검출","적합"
"4","떡류","니가타현","2014-07-14","1,026","불검출","불검출","적합"
"5","떡류","니가타현","2014-07-14","1,263","불검출","불검출","적합"
"6","떡류","니가타현","2014-07-14","32.4","불검출","불검출","적합"
"7","캔디류(사탕)","후쿠시마현","2014-07-10","345.6","불검출","불검출","적합"
"8","차추출물","효고현","2014-06-04","15","불검출","불검출","적합"
"9","트랜스글루코시다아제","시가현","2014-06-25","401","불검출","불검출","적합"
"10","향신료조제품(고추냉이가공품)","아이치현","2014-06-02","40","불검출","불검출","적합"
"11","빵류(케이크)","효고현","2014-07-18","309.6","불검출","불검출","적합"
"12","과자(스낵과자)","고치현","2014-06-25","6","불검출","불검출","적합"
"13","혼합제제","사이타마현","2014-06-25","125","불검출","불검출","적합"
"14","혼합제제","사이타마현","2014-07-01","200","불검출","불검출","적합"
"15","혼합제제","이바라키현","2014-06-19","100","불검출","불검출","적합"
"16","혼합제제","이바라키현","2014-06-18","14","불검출","불검출","적합"
"17","혼합제제","이바라키현","2014-07-01","555","불검출","불검출","적합"
"18","혼합제제","이바라키현","2014-06-24","60","불검출","불검출","적합"
"19","혼합제제","가나가와현","2014-07-01","120","불검출","불검출","적합"
"20","혼합제제","이바라키현","2014-06-23","75","불검출","불검출","적합"
"21","혼합제제","가나가와현","2014-07-01","45","불검출","불검출","적합"
