"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 97건","","","","384,656","","",""
"1","과자","이시카와현","2019-02-12","6","불검출","불검출","적합"
"2","혼합음료","오키나와현","2019-02-12","2,500","불검출","불검출","적합"
"3","캔디류","아이치현","2019-01-21","259","불검출","불검출","적합"
"4","캔디류","도쿄도","2019-02-12","165","불검출","불검출","적합"
"5","캔디류","도쿄도","2019-02-08","161","불검출","불검출","적합"
"6","소스","에히메현","2019-02-01","720","불검출","불검출","적합"
"7","양조간장","지바현","2019-01-15","12,215","불검출","불검출","적합"
"8","소스","지바현","2019-01-24","3,694","불검출","불검출","적합"
"9","탄산음료","히로시마현","2019-02-14","2,520","불검출","불검출","적합"
"10","탄산음료","히로시마현","2019-02-06","2,520","불검출","불검출","적합"
"11","탄산음료","히로시마현","2019-02-13","2,520","불검출","불검출","적합"
"12","액상커피","아이치현","2019-02-19","48,853","불검출","불검출","적합"
"13","액상커피","아이치현","2019-02-21","51,882","불검출","불검출","적합"
"14","카레(커리)","아이치현","2018-11-27","3,000","불검출","불검출","적합"
