"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 102건","","","","373,036","","",""
"1","청주","나가노현","2019-01-28","173","불검출","불검출","적합"
"2","청주","나가노현","2019-02-01","173","불검출","불검출","적합"
"3","혼합제제","오사카부","2019-02-27","50","불검출","불검출","적합"
"4","곡류가공품","아이치현","2019-02-25","493","불검출","불검출","적합"
"5","탄산마그네슘","오카야마현","2019-02-18","11,000","불검출","불검출","적합"
"6","청주","니가타현","2019-02-21","1,296","불검출","불검출","적합"
"7","청주","니가타현","2019-02-19","180","불검출","불검출","적합"
"8","빵류","아오모리현","2019-02-14","792","불검출","불검출","적합"
"9","청주","니가타현","2019-02-19","518","불검출","불검출","적합"
"10","소스","에히메현","2019-03-05","1,940","불검출","불검출","적합"
"11","소스","에히메현","2019-03-07","1,000","불검출","불검출","적합"
"12","폴리글리세린
지방산에스테르","미에현","2018-10-22","540","불검출","불검출","적합"
"13","맥주","교토부","2019-02-21","23,398","불검출","불검출","적합"
