"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:
100Bq/Kg)","요오드
(기준:
300Bq/Kg)","판정"
"합계","","-","-","4,708","-","-","-"
"1","가공유크림","오사카부","2019-03-21","150","불검출","불검출","적합"
"2","가공유크림","오사카부","2019-03-22","150","불검출","불검출","적합"
"3","가공유크림","오사카부","2019-03-22","180","불검출","불검출","적합"
"4","가공치즈","효고현","2019-03-21","871","불검출","불검출","적합"
"5","가공치즈","효고현","2019-03-21","1,980","불검출","불검출","적합"
"6","가공치즈","효고현","2019-03-22","2","불검출","불검출","적합"
"7","가공치즈","효고현","2019-03-22","2","불검출","불검출","적합"
"8","가공치즈","효고현","2019-03-22","280","불검출","불검출","적합"
"9","아이스밀크","돗토리현","2019-03-21","365","불검출","불검출","적합"
"10","아이스밀크","돗토리현","2019-03-22","728","불검출","불검출","적합"
