"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"15","가공두부","오사카부","2019-02-11","1,200","불검출","불검출","적합"
"16","가공두부","오사카부","2019-03-12","4,000","불검출","불검출","적합"
"17","비타민B1","오키나와현","","90","불검출","불검출","적합"
"18","글루콘산칼슘","도쿠시마현","2019-02-01","500","불검출","불검출","적합"
"19","비타민B1","오키나와현","","90","불검출","불검출","적합"
"20","캔디류","시즈오카현","2019-01-23","1,530","불검출","불검출","적합"
"21","혼합제제","효고현","2019-03-04","51","불검출","불검출","적합"
"22","무기질","도야마현","2019-02-21","97","불검출","불검출","적합"
"23","캔디류","나가노현","2019-02-16","4,618","불검출","불검출","적합"
"24","소스","아오모리현","2019-02-04","14","불검출","불검출","적합"
"25","숙면","구마모토현","2019-02-09","326","불검출","불검출","적합"
"26","소스","사가현","2018-12-05","46","불검출","불검출","적합"
"27","숙면","구마모토현","2019-02-09","433","불검출","불검출","적합"
"28","전분가공품","나가노현","2019-02-20","20","불검출","불검출","적합"
"29","혼합제제","오카야마현","2019-02-26","60","불검출","불검출","적합"
"30","혼합제제","오카야마현","2019-02-21","500","불검출","불검출","적합"
"31","기타천연착향료","오카야마현","2019-03-04","15","불검출","불검출","적합"
"32","기타천연착향료","오카야마현","2019-03-05","15","불검출","불검출","적합"
"33","기타 어육가공품","아오모리현","2019-01-22","22","불검출","불검출","적합"
"34","조미건어포","야마나시현","2019-01-24","26","불검출","불검출","적합"
"35","즉석조리식품","미에현","2018-11-21","85","불검출","불검출","적합"
"36","조미건어포","야마나시현","2019-01-25","95","불검출","불검출","적합"
"37","혼합제제","도쿄도","2019-02-25","810","불검출","불검출","적합"
"38","액상차","후쿠이현","2019-01-22","900","불검출","불검출","적합"
"39","혼합제제","도쿄도","2019-02-25","40","불검출","불검출","적합"
"40","과자","이바라키현","2019-02-06","126","불검출","불검출","적합"
"41","초콜릿가공품","이바라키현","2019-02-03","9,216","불검출","불검출","적합"
"42","과자","이바라키현","2019-02-05","778","불검출","불검출","적합"
"43","과자","이바라키현","2019-02-12","119","불검출","불검출","적합"
"44","과자","이바라키현","2019-02-06","146","불검출","불검출","적합"
"45","과자","이바라키현","2019-02-12","65","불검출","불검출","적합"
"46","숙면","구마모토현","2019-02-09","805","불검출","불검출","적합"
"47","볶은커피","오사카부","2019-01-07","2,661","불검출","불검출","적합"
"48","즉석조리식품","가가와현","2018-12-10","4,992","불검출","불검출","적합"
"49","혼합제제","오사카부","2019-03-04","150","불검출","불검출","적합"
