"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동꽁치","대만","2019-03-22","159,439","불검출","불검출","적합"
"2","냉동대구(머리)","러시아","2019-03-22","3,555","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2019-03-22","23,917","불검출","불검출","적합"
"4","냉동가자미(각시가자미)","러시아","2019-03-22","22,050","불검출","불검출","적합"
"5","냉동가자미(각시가자미)","러시아","2019-03-22","22,500","불검출","불검출","적합"
"6","냉동명태(F)","미국","2019-03-22","24,000","불검출","불검출","적합"
"7","냉동명태","러시아","2019-03-22","24,000","불검출","불검출","적합"
"8","냉동가자미(각시가자미)","러시아","2019-03-22","22,500","불검출","불검출","적합"
"9","냉동가자미(각시가자미)","러시아","2019-03-22","22,050","불검출","불검출","적합"
"10","냉동명태(F)","러시아","2019-03-22","21,375","불검출","불검출","적합"
"합계","","-","-","345,386","-","-","-"
