"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:
100Bq/Kg)","요오드
(기준:
300Bq/Kg)","판정"
"합계","","-","-","6,019","-","-","-"
"1","가공유크림","오사카부","2019-03-20","150","불검출","불검출","적합"
"2","가공유크림","오사카부","2019-03-20","150","불검출","불검출","적합"
"3","가공치즈","효고현","2019-03-20","280","불검출","불검출","적합"
"4","아이스밀크","홋카이도","2019-03-20","684","불검출","불검출","적합"
"5","아이스크림","홋카이도","2019-03-20","380","불검출","불검출","적합"
"6","아이스크림","홋카이도","2019-03-20","392","불검출","불검출","적합"
"7","아이스크림","홋카이도","2019-03-20","652","불검출","불검출","적합"
"8","아이스크림","홋카이도","2019-03-20","692","불검출","불검출","적합"
"9","아이스크림","홋카이도","2019-03-20","847","불검출","불검출","적합"
"10","아이스크림","홋카이도","2019-03-20","847","불검출","불검출","적합"
"11","아이스크림","홋카이도","2019-03-20","945","불검출","불검출","적합"
