"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","134건","","901,207","","",""
"1","복합조미식품","후쿠오카현","2014-09-03","18","불검출","불검출","적합"
"2","향신료조제품","후쿠오카현","2014-09-02","64","불검출","불검출","적합"
"3","글루타미나아제","아이치현","2014-10-06","101","불검출","불검출","적합"
"4","프로테아제
(곰팡이성:SAP)","아이치현","2014-08-20","21","불검출","불검출","적합"
"5","과자(스낵과자)","아이치현","2014-10-06","621","불검출","불검출","적합"
"6","과자(비스킷)","이바라키현","2014-09-19","1,166.4","불검출","불검출","적합"
"7","과자(비스킷)","이바라키현","2014-09-03","573.04","불검출","불검출","적합"
"8","과자(크래커)","이바라키현","2014-09-10","1,188","불검출","불검출","적합"
"9","맥주","후쿠오카현","2014-09-11","49,320","불검출","불검출","적합"
"10","과자(스낵과자)","니가타현","2014-10-08","213.6","불검출","불검출","적합"
"11","과자(스낵과자)","아이치현","2014-10-14","720","불검출","불검출","적합"
"12","과자(스낵과자)","아이치현","2014-10-14","720","불검출","불검출","적합"
"13","과자(스낵과자)","아이치현","2014-10-09","480","불검출","불검출","적합"
"14","맥주","오이타현","2014-09-11","29,520","불검출","불검출","적합"
"15","맥주","구마모토현","2014-10-01","6,272","불검출","불검출","적합"
"16","된장","나가노현","2014-09-19","2,160","불검출","불검출","적합"
"17","소주","후쿠오카현","2014-06-25","1,080","불검출","불검출","적합"
