"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","110건","","211,729","","",""
"1","소스류","히로시마현","2014-09-09","396","불검출","불검출","적합"
"2","소스류","히로시마현","2014-09-19","468","불검출","불검출","적합"
"3","소스류","히로시마현","2014-09-05","90","불검출","불검출","적합"
"4","소스류","히로시마현","2014-08-05","40","불검출","불검출","적합"
"5","소스류","군마현","2014-08-12","1,170","불검출","불검출","적합"
"6","과자(스낵과자)","이와테현","2014-09-24","72","불검출","불검출","적합"
"7","소스류","히로시마현","2014-09-02","216","불검출","불검출","적합"
"8","캔디류(사탕)","가나가와현","2014-09-01","278","불검출","불검출","적합"
"9","즉석조리식품","가가와현","2014-09-28","4,992","불검출","불검출","적합"
"10","맥주","오이타현","2014-08-30","49,680","불검출","불검출","적합"
"11","드레싱","사가현","2014-09-16","6,480","불검출","불검출","적합"
"12","두류가공품","나가노현","2014-09-19","7,612.8","불검출","불검출","적합"
"13","혼합제제","오사카부","2014-10-10","16,104","불검출","불검출","적합"
"14","혼합제제","사이타마현","2014-10-09","50","불검출","불검출","적합"
"15","소스류","가고시마현","2014-04-16","18","불검출","불검출","적합"
"16","혼합제제","오사카부","2014-08-01","660","불검출","불검출","적합"
"17","과자(스낵과자)","이바라키현","2014-10-01","972","불검출","불검출","적합"
