"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","111,502","-","-","-"
"1","활돔(참돔)","에히메현","2016-07-15","6,538","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2016-07-15","11,430","불검출","불검출","적합"
"3","활가리비","홋카이도","2016-07-15","7,000","불검출","불검출","적합"
"4","냉장병어","오카야마현","2016-07-15","1,040","불검출","불검출","적합"
"5","냉동갈치","나가사키현","2016-07-15","22,750","불검출","불검출","적합"
"6","냉장명태","홋카이도","2016-07-15","2,054","불검출","불검출","적합"
"7","냉장홍어","홋카이도","2016-07-15","10,270","불검출","불검출","적합"
"8","냉동상어
(청상아리)","대서양","2016-07-15","9,573","불검출","불검출","적합"
"9","냉동새치(돛새치)","대서양","2016-07-15","993","불검출","불검출","적합"
"10","냉동기름치","인도양","2016-07-15","11,198","불검출","불검출","적합"
"11","활가리비","홋카이도","2016-07-15","7,147","불검출","불검출","적합"
"12","활가리비","홋카이도","2016-07-15","14,513","불검출","불검출","적합"
"13","활가리비","홋카이도","2016-07-15","6,996","불검출","불검출","적합"
