"순번","품목","원산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"1","냉동다랑어(황다랑어,F,횟감)","솔로몬군도","2019-06-19","960","불검출","불검출","적합"
"2","냉동명태","러시아","2019-06-19","163,873","불검출","불검출","적합"
"3","냉동명태(F)","러시아","2019-06-19","21,750","불검출","불검출","적합"
"4","냉동명태","러시아","2019-06-19","21,660","불검출","불검출","적합"
"5","냉동가자미(첨치가자미,S,포장횟
감)","미국","2019-06-19","3,210","불검출","불검출","적합"
"6","냉동명태(F)","러시아","2019-06-19","23,000","불검출","불검출","적합"
"7","냉동대구","러시아","2019-06-19","101,458","불검출","불검출","적합"
"8","냉동가자미(각시가자미)","러시아","2019-06-19","22,050","불검출","불검출","적합"
"9","냉동가자미(마설가자미)","러시아","2019-06-19","2,287","불검출","불검출","적합"
"10","냉동꽁치","대만","2019-06-19","147,916","불검출","불검출","적합"
"11","냉동명태(F)","러시아","2019-06-19","21,848","불검출","불검출","적합"
"12","마른상어(청새리상어,지느러미)","중국(홍콩)","2019-06-19","39","불검출","불검출","적합"
"합계","","-","-","530,051","-","-","-"
