"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 133건","","","","817,245","","",""
"1","초콜릿가공품","효고현","2018-11-21","118","불검출","불검출","적합"
"2","과자","아이치현","2019-02-04","576","불검출","불검출","적합"
"3","시클로덱스트린시럽","시즈오카현","2019-01-29","8,000","불검출","불검출","적합"
"4","혼합제제","효고현","2019-01-30","4,000","불검출","불검출","적합"
"5","디아스타아제","도쿄도","2019-01-29","1,000","불검출","불검출","적합"
"6","캔디류","시즈오카현","2018-11-02","302","불검출","불검출","적합"
"7","캔디류","시즈오카현","2018-11-02","576","불검출","불검출","적합"
"8","덱스트린","효고현","2019-01-06","1,000","불검출","불검출","적합"
"9","캔디류","후쿠시마현","2018-11-02","274","불검출","불검출","적합"
"10","과자","사이타마현","2018-12-22","120","불검출","불검출","적합"
"11","캔디류","아이치현","2019-02-07","238","불검출","불검출","적합"
"12","캔디류","아이치현","2019-02-07","192","불검출","불검출","적합"
"13","탄산음료","오사카부","2019-01-28","2,400","불검출","불검출","적합"
"14","캔디류","아이치현","2019-02-07","384","불검출","불검출","적합"
