"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","86건","","142,090","","",""
"1","어묵","나가사키현","2014-02-20","14","불검출","불검출","적합"
"2","어묵","나가사키현","2014-02-20","14","불검출","불검출","적합"
"3","어묵","나가사키현","2014-02-20","14","불검출","불검출","적합"
"4","어묵","나가사키현","2014-02-20","14","불검출","불검출","적합"
"5","기타가공품","아이치현","2014-03-13","10","불검출","불검출","적합"
"6","혼합제제","미에현","2014-01-27","1,200","불검출","불검출","적합"
"7","소스류","이바라키현","2014-02-13","45","불검출","불검출","적합"
"8","드레싱","도쿄도","2014-02-27","90","불검출","불검출","적합"
"9","드레싱","사이타마현","2014-03-12","45.6","불검출","불검출","적합"
"10","드레싱","사가현","2014-03-04","7,200","불검출","불검출","적합"
"11","드레싱","오사카부","2014-03-20","270","불검출","불검출","적합"
"12","드레싱","오사카부","2014-03-17","270","불검출","불검출","적합"
"13","마요네즈","효고현","2014-03-13","500","불검출","불검출","적합"
"14","기타장류","효고현","2014-02-13","1,440","불검출","불검출","적합"
"15","밀크초콜릿","가나가와현","2014-01-24","53.6","불검출","불검출","적합"
"16","소스류","에히메현","2014-02-20","540","불검출","불검출","적합"
