"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","62건","","138,656","","",""
"1","청주","나가노현","2014-02-10","311.04","불검출","불검출","적합"
"2","복합조미식품","효고현","2014-03-14","450","불검출","불검출","적합"
"3","자당지방산에스테르","시가현","2014-02-27","3,000","불검출","불검출","적합"
"4","혼합제제","효고현","2014-03-18","180","불검출","불검출","적합"
"5","혼합제제","효고현","2014-03-18","30","불검출","불검출","적합"
"6","혼합제제","효고현","2014-03-18","30","불검출","불검출","적합"
"7","혼합제제","효고현","2014-03-11","30","불검출","불검출","적합"
"8","혼합제제","효고현","2014-03-18","15","불검출","불검출","적합"
"9","혼합제제","효고현","2014-03-18","45","불검출","불검출","적합"
"10","혼합제제","효고현","2014-03-18","15","불검출","불검출","적합"
"11","혼합제제","효고현","2014-03-11","30","불검출","불검출","적합"
"12","기타천연착향료","사이타마현","2014-03-11","50","불검출","불검출","적합"
"13","소스류","후쿠오카현","2014-03-29","3,150","불검출","불검출","적합"
"14","혼합제제","도치기현","2014-03-11","150","불검출","불검출","적합"
"15","식물성크림","도치기현","2013-11-18","150","불검출","불검출","적합"
"16","수산물가공품","후쿠시마현","2014-03-14","1,200","불검출","불검출","적합"
