"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 152건","","","","944,687","","",""
"1","청주","도치기현","2017-10-13","9,660","불검출","불검출","적합"
"2","청주","오이타현","2017-10-25","1,735","불검출","불검출","적합"
"3","청주","오이타현","2017-10-25","1,144","불검출","불검출","적합"
"4","과자(스낵과자)","아이치현","2017-10-20","227","불검출","불검출","적합"
"5","즉석조리식품","가나가와현","2017-08-27","9,430","불검출","불검출","적합"
"6","즉석조리식품","가나가와현","2017-10-03","4,066","불검출","불검출","적합"
"7","즉석조리식품","가나가와현","2017-10-03","2,702","불검출","불검출","적합"
"8","혼합제제","히로시마현","2017-10-25","80","불검출","불검출","적합"
"9","과.채가공품","나가노현","2017-10-23","298","불검출","불검출","적합"
"10","백설탕","후쿠오카현","2017-07-31","400","불검출","불검출","적합"
"11","당류가공품","오사카부","2017-10-26","240","불검출","불검출","적합"
"12","밀가루","후쿠오카현","2017-10-02","1,000","불검출","불검출","적합"
"13","탄산음료","오사카부","2017-10-03","5,880","불검출","불검출","적합"
