"검사결과
수입
제조일자","","","","","","",""
"순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"46","공액리놀레산","시즈오카현","2017-11-07","374","불검출","불검출","적합"
"47","비타민/가르시니아
캄보지아껍질추출물","도야마현","2017-11-14","644","불검출","불검출","적합"
"48","소스","히로시마현","2017-12-26","339","불검출","불검출","적합"
"49","소스","히로시마현","2017-11-28","339","불검출","불검출","적합"
"50","자당지방산에스테르","시가현","2017-11-27","2,000","불검출","불검출","적합"
"51","혼합제제","오카야마현","2017-12-27","90","불검출","불검출","적합"
"52","과자","아이치현","2017-12-10","73","불검출","불검출","적합"
"53","과자","아이치현","2017-12-10","121","불검출","불검출","적합"
"54","과자","아이치현","2017-12-10","69","불검출","불검출","적합"
"55","숙면","구마모토현","2017-12-29","4,681","불검출","불검출","적합"
"56","숙면","구마모토현","2017-12-29","4,518","불검출","불검출","적합"
"57","청주","훗카이도","2017-11-21","115","불검출","불검출","적합"
"58","비타민E","시즈오카현","2017-12-13","5","불검출","불검출","적합"
"59","과자","훗카이도","2017-12-15","100","불검출","불검출","적합"
"60","음료베이스","기후현","2017-11-08","6","불검출","불검출","적합"
"61","합성향료","가나가와현","2017-12-22","3","불검출","불검출","적합"
"62","합성향료","가나가와현","2017-12-22","6","불검출","불검출","적합"
