"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 65건","","","","325,942","","",""
"1","유탕면류","후쿠오카현","2017-12-07","58","불검출","불검출","적합"
"2","유탕면류","후쿠오카현","2017-12-08","36","불검출","불검출","적합"
"3","유탕면류","후쿠오카현","2017-12-07","55","불검출","불검출","적합"
"4","과자","아이치현","2017-12-20","1,058","불검출","불검출","적합"
"5","커피","효고현","2017-12-09","302","불검출","불검출","적합"
"6","커피","효고현","2017-12-25","121","불검출","불검출","적합"
"7","커피","효고현","2017-12-19","106","불검출","불검출","적합"
"8","커피","미에현","2017-10-01","378","불검출","불검출","적합"
"9","혼합제제","효고현","2018-01-05","34","불검출","불검출","적합"
"10","혼합제제","효고현","2018-01-10","34","불검출","불검출","적합"
"11","올리고당","시즈오카현","2017-11-09","150","불검출","불검출","적합"
"12","카레","시즈오카현","2017-11-15","8,316","불검출","불검출","적합"
"13","카레","시즈오카현","2017-12-04","6,552","불검출","불검출","적합"
