"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","59건","","917,778","","",""
"1","효모추출물제품","오이타현","2013-07-23","50","불검출","불검출","적합"
"2","리큐르","도치기현","2014-10-19","168","불검출","불검출","적합"
"3","혼합제제","오카야마현","2014-11-27","30","불검출","불검출","적합"
"4","리큐르","도치기현","2014-11-24","672","불검출","불검출","적합"
"5","리큐르","도치기현","2014-11-03","336","불검출","불검출","적합"
"6","혼합제제","도쿄도","2014-11-25","15","불검출","불검출","적합"
"7","빵류(케이크)","가나가와현","2014-10-21","68.4","불검출","불검출","적합"
"8","빵류(케이크)","가나가와현","2014-08-23","84.6","불검출","불검출","적합"
"9","액상커피","시가현","2014-12-18","13,500","불검출","불검출","적합"
"10","과자(비스킷)","효고현","2014-10-02","238.8","불검출","불검출","적합"
"11","과자(스낵과자)","아이치현","2014-12-02","313.92","불검출","불검출","적합"
"12","과자(스낵과자)","아이치현","2014-12-01","136.8","불검출","불검출","적합"
