"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","40건","","406,471","","",""
"1","향신료조제품(고추
냉이가공품)","사이타마현","2014-11-08","671","불검출","불검출","적합"
"2","캔디류(사탕)","아이치현","2014-11-02","120","불검출","불검출","적합"
"3","과자(쿠키)","시즈오카현","2014-10-02","200","불검출","불검출","적합"
"4","과자(크래커)","이바라키현","2014-08-29","306","불검출","불검출","적합"
"5","과자(쿠키)","이바라키현","2014-09-13","351","불검출","불검출","적합"
"6","과자(스낵과자)","니가타현","2014-09-25","400","불검출","불검출","적합"
"7","캔디류(사탕)","시즈오카현","2014-10-02","162","불검출","불검출","적합"
"8","준초콜릿","가나가와현","2014-10-02","176","불검출","불검출","적합"
"9","청주","지바현","2014-11-11","91","불검출","불검출","적합"
"10","청주","지바현","2014-11-06","91","불검출","불검출","적합"
"11","수산물가공품","오카야마현","2014-11-21","30","불검출","불검출","적합"
"12","청주","후쿠이현","2014-12-04","130","불검출","불검출","적합"
