"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","84건","","283,225","","",""
"1","향미유","사이타마현","2014-12-02","2,871","불검출","불검출","적합"
"2","기타가공품","도쿄도","2014-12-16","300","불검출","불검출","적합"
"3","비타민/코엔자임
Q10","시즈오카현","2014-09-28","41.66","불검출","불검출","적합"
"4","비타민/오메가-3
지방산함유유지","시즈오카현","2014-09-30","97.22","불검출","불검출","적합"
"5","맥주","시즈오카현","2014-08-27","475","불검출","불검출","적합"
"6","된장","나가노현","2015-12-15","6,480","불검출","불검출","적합"
"7","준초콜릿","효고현","2014-10-29","420","불검출","불검출","적합"
"8","음료베이스","효고현","2014-10-29","90","불검출","불검출","적합"
"9","볶은커피","효고현","2014-11-27","84","불검출","불검출","적합"
"10","과자(스낵과자)","아이치현","2015-01-06","2,268","불검출","불검출","적합"
"11","볶은커피","효고현","2014-11-22","97.44","불검출","불검출","적합"
"12","볶은커피","효고현","2014-11-16","97.44","불검출","불검출","적합"
