"순번","품목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:
100Bq/Kg)","요오드
(기준:
300Bq/Kg)","판정"
"합계","","-","-","4,441","-","-","-"
"1","유크림","후쿠오카현","2018-12-19","85","불검출","불검출","적합"
"2","유크림","후쿠오카현","2018-12-19","85","불검출","불검출","적합"
"3","가공유크림","오사카부","2018-12-19","180","불검출","불검출","적합"
"4","가공유크림","오사카부","2018-12-19","180","불검출","불검출","적합"
"5","가공유크림","오사카부","2018-12-19","180","불검출","불검출","적합"
"6","가공유크림","오사카부","2018-12-19","210","불검출","불검출","적합"
"7","가공유크림","오사카부","2018-12-19","210","불검출","불검출","적합"
"8","가공유크림","오사카부","2018-12-19","210","불검출","불검출","적합"
"9","아이스크림","지바현","2018-12-19","496","불검출","불검출","적합"
"10","아이스밀크믹스","가나가와현","2018-12-19","608","불검출","불검출","적합"
"11","아이스밀크믹스","가나가와현","2018-12-19","797","불검출","불검출","적합"
"12","아이스밀크","홋카이도","2018-12-19","1,200","불검출","불검출","적합"
