"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"46","밀크초콜릿","훗카이도","2018-11-19","113","불검출","불검출","적합"
"47","밀크초콜릿","훗카이도","2018-11-19","2,100","불검출","불검출","적합"
"48","밀크초콜릿","훗카이도","2018-11-19","180","불검출","불검출","적합"
"49","커피/건조","과테말라","2017-06-08","5,175","불검출","불검출","적합"
"50","커피/건조","과테말라","2017-06-29","5,175","불검출","불검출","적합"
"51","과자","니가타현","2018-10-18","252","불검출","불검출","적합"
"52","소스","나가사키현","2018-09-18","3,011","불검출","불검출","적합"
"53","가공두부","후쿠오카현","2018-10-31","1,128","불검출","불검출","적합"
"54","준초콜릿","효고현","2018-11-13","1,825","불검출","불검출","적합"
"55","글리세린지방산
에스테르","미에현","2018-11-01","352","불검출","불검출","적합"
"56","혼합제제","오사카부","2018-11-30","150","불검출","불검출","적합"
"57","소스","가가와현","2018-10-30","3,776","불검출","불검출","적합"
