"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건37","-","-","231,213","-","-","-"
"1","활장어 먹장어
(
)","나가사키현","2015-10-01","700","불검출","불검출","적합"
"2","활가리비","홋카이도","2015-10-01","6,300","불검출","불검출","적합"
"3","활가리비","홋카이도","2015-10-01","7,000","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-10-01","6,620","불검출","불검출","적합"
"5","활가리비","홋카이도","2015-10-01","7,150","불검출","불검출","적합"
"6","활가리비","홋카이도","2015-10-01","7,000","불검출","불검출","적합"
"7","활가리비","홋카이도","2015-10-01","7,000","불검출","불검출","적합"
"8","활가리비","홋카이도","2015-10-01","7,100","불검출","불검출","적합"
"9","활가리비","홋카이도","2015-10-01","7,100","불검출","불검출","적합"
"10","냉동다랑어
(
남방참다랑어
)","인도양","2015-10-01","21,933","불검출","불검출","적합"
"11","냉동다랑어
(
남방참다랑어
)","인도양","2015-10-01","4,513","불검출","불검출","적합"
"12","활우렁쉥이","홋카이도","2015-10-01","9,074","불검출","불검출","적합"
"13","냉장명태","홋카이도","2015-10-01","3,708","불검출","불검출","적합"
"14","활우렁쉥이","홋카이도","2015-10-01","8,981","불검출","불검출","적합"
"15","활우렁쉥이","홋카이도","2015-10-01","8,695","불검출","불검출","적합"
"16","활우렁쉥이","홋카이도","2015-10-01","9,429","불검출","불검출","적합"
