"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","106","","144,952","","",""
"1","카레","나가노현","2016-03-30","1,800","불검출","불검출","적합"
"2","혼합제제","효고현","2016-05-09","20","불검출","불검출","적합"
"3","캔디류(사탕)","후쿠시마현","2016-04-28","353","불검출","불검출","적합"
"4","곡류가공품","태국","2016-04-02","161","불검출","불검출","적합"
"5","카레분","사이타마현","2016-04-04","160","불검출","불검출","적합"
"6","카레","나가노현","2016-03-30","2,000","불검출","불검출","적합"
"7","서류가공품","훗카이도","2016-01-18","600","불검출","불검출","적합"
"8","청주","효고현","2016-04-14","1,200","불검출","불검출","적합"
"9","당류가공품","교토부","2016-04-13","34","불검출","불검출","적합"
"10","당류가공품","교토부","2016-04-07","34","불검출","불검출","적합"
"11","당류가공품","교토부","2016-04-08","22","불검출","불검출","적합"
"12","기타가공품(참깨분)","미에현","2016-04-14","72","불검출","불검출","적합"
"13","당류가공품","교토부","2016-04-19","22","불검출","불검출","적합"
