"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 132건","","","","1,467,762","","",""
"1","캔디류","니가타현","2018-08-22","1,362","불검출","불검출","적합"
"2","소스","사이타마현","2018-08-17","5,856","불검출","불검출","적합"
"3","당류가공품","시즈오카현","2018-08-16","80","불검출","불검출","적합"
"4","과자","가나가와현","2018-08-03","2,765","불검출","불검출","적합"
"5","혼합제제","이바라키현","2018-08-23","135","불검출","불검출","적합"
"6","기타가공품","시즈오카현","2017-09-25","1,350","불검출","불검출","적합"
"7","혼합제제","미에현","2018-08-29","192","불검출","불검출","적합"
"8","글리세린지방산
에스테르","미에현","2018-06-13","96","불검출","불검출","적합"
"9","혼합제제","오사카부","2018-08-30","500","불검출","불검출","적합"
"10","소주","사가현","2018-05-30","432","불검출","불검출","적합"
"11","청주","사가현","2018-07-26","367","불검출","불검출","적합"
"12","치자청색소","효고현","2018-09-07","80","불검출","불검출","적합"
"13","혼합제제","오사카부","2018-09-06","70","불검출","불검출","적합"
