"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","156건","","441,885","","",""
"1","기타주류","야마구치현","2014-04-10","6,800","불검출","불검출","적합"
"2","기타주류","야마구치현","2014-04-07","3,400","불검출","불검출","적합"
"3","혼합제제","효고현","2014-05-22","75","불검출","불검출","적합"
"4","고춧가루","시가현","2014-02-19","500","불검출","불검출","적합"
"5","혼합제제","효고현","2014-05-26","30","불검출","불검출","적합"
"6","혼합제제","오카야마현","2014-05-14","300","불검출","불검출","적합"
"7","소주","오이타현","2014-04-22","259.2","불검출","불검출","적합"
"8","청주","효고현","2014-04-10","122.4","불검출","불검출","적합"
"9","곡류가공품","오사카부","2014-05-09","500","불검출","불검출","적합"
"10","수산물가공품","효고현","2014-05-13","14.4","불검출","불검출","적합"
"11","과자(스낵과자)","아이치현","2014-05-02","165.6","불검출","불검출","적합"
"12","청주","효고현","2014-04-24","120","불검출","불검출","적합"
"13","즉석조리식품","지바현","2014-04-16","26.68","불검출","불검출","적합"
"14","기타면류(수제비)","도야마현","2014-05-12","40","불검출","불검출","적합"
"15","청주","효고현","2014-04-22","2,700","불검출","불검출","적합"
"16","전분가공품","오사카부","2014-05-09","200","불검출","불검출","적합"
"17","카레","나가노현","2014-04-28","600","불검출","불검출","적합"
"18","청주","효고현","2014-04-04","3,240","불검출","불검출","적합"
