"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","109건","","429,987","","",""
"1","소스류","효고현","2014-03-29","61.6","불검출","불검출","적합"
"2","덱스트라나아제","효고현","2012-09-06","20","불검출","불검출","적합"
"3","조미건어포류","사가현","2014-04-16","21","불검출","불검출","적합"
"4","소스류","히로시마현","2014-05-15","996","불검출","불검출","적합"
"5","소스류","히로시마현","2014-05-20","1,332","불검출","불검출","적합"
"6","소스류","히로시마현","2014-05-10","40.92","불검출","불검출","적합"
"7","소스류","히로시마현","2014-05-26","283.2","불검출","불검출","적합"
"8","소스류","히로시마현","2014-05-27","1,890","불검출","불검출","적합"
"9","소스류","히로시마현","2014-05-20","1,223.4","불검출","불검출","적합"
"10","소스류","히로시마현","2014-05-22","732.96","불검출","불검출","적합"
"11","소스류","히로시마현","2014-04-22","396","불검출","불검출","적합"
"12","소스류","히로시마현","2014-05-30","1,290","불검출","불검출","적합"
"13","소스류","히로시마현","2014-05-30","2,520","불검출","불검출","적합"
"14","소스류","히로시마현","2014-05-20","507.01","불검출","불검출","적합"
"15","볶은커피","사이타마현","2014-05-01","2,100","불검출","불검출","적합"
"16","볶은커피","시즈오카현","2014-04-23","1,069.2","불검출","불검출","적합"
"17","건어포류","가고시마현","2014-05-13","155","불검출","불검출","적합"
"18","건어포류","가고시마현","2014-05-13","1,068","불검출","불검출","적합"
