"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","56건","","76,341","","",""
"1","혼합제제","사이타마현","2014-09-20","4","불검출","불검출","적합"
"2","혼합장","야마나시현","2014-12-09","1,500","불검출","불검출","적합"
"3","복합조미식품","군마현","2014-11-27","7,200","불검출","불검출","적합"
"4","즉석조리식품","야마나시현","2014-12-02","23.17","불검출","불검출","적합"
"5","어묵","시마네현","2014-12-01","1,250","불검출","불검출","적합"
"6","소스류","교토부","2014-10-24","642","불검출","불검출","적합"
"7","떡류","군마현","2014-09-02","109.2","불검출","불검출","적합"
"8","과자(스낵과자)","아이치현","2014-12-13","1,242","불검출","불검출","적합"
"9","과자(크래커)","미에현","2014-11-14","3.6","불검출","불검출","적합"
"10","과자(비스킷)","사이타마현","2014-11-17","1,914.3","불검출","불검출","적합"
"11","캔디류(사탕)","나가노현","2014-10-13","264","불검출","불검출","적합"
"12","된장","효고현","2014-12-11","200","불검출","불검출","적합"
