"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"94","초콜릿가공품","이바라키현","2014-11-04","648","불검출","불검출","적합"
"95","준초콜릿","이바라키현","2014-11-18","720","불검출","불검출","적합"
"96","과자(웨이퍼)","아이치현","2014-12-05","136.8","불검출","불검출","적합"
"97","과자(비스킷)","이바라키현","2014-11-04","320","불검출","불검출","적합"
"98","과자(비스킷)","이바라키현","2014-11-13","320","불검출","불검출","적합"
"99","과자(크래커)","니가타현","2014-12-09","62.64","불검출","불검출","적합"
"100","과자(크래커)","니가타현","2014-12-04","52.2","불검출","불검출","적합"
"101","혼합제제","미에현","2014-11-12","2,000","불검출","불검출","적합"
"102","글리세린지방산에
스테르","미에현","2014-10-30","105","불검출","불검출","적합"
"103","혼합제제","사이타마현","2014-12-03","100","불검출","불검출","적합"
"104","볶은커피","지바현","2014-12-18","500","불검출","불검출","적합"
"105","볶은커피","지바현","2014-12-17","1,500","불검출","불검출","적합"
