"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","105건","","105,013.","","",""
"1","혼합제제","효고현","2014-12-12","10","불검출","불검출","적합"
"2","빵류(케이크)","아이치현","2014-12-10","12.6","불검출","불검출","적합"
"3","빵류(케이크)","아이치현","2014-12-10","21","불검출","불검출","적합"
"4","빵류(파이)","아이치현","2014-12-10","11.4","불검출","불검출","적합"
"5","빵류(파이)","아이치현","2014-12-10","20.3","불검출","불검출","적합"
"6","빵류(그외 빵류)","아이치현","2014-12-10","22.25","불검출","불검출","적합"
"7","빵류(그외 빵류)","아이치현","2014-12-10","30.25","불검출","불검출","적합"
"8","빵류(그외 빵류)","아오모리현","2014-12-06","27","불검출","불검출","적합"
"9","빵류(카스텔라)","오사카부","2014-12-08","48","불검출","불검출","적합"
"10","소주","가고시마현","2014-11-19","86.4","불검출","불검출","적합"
"11","청주","야마가타현","2014-11-10","144","불검출","불검출","적합"
"12","청주","효고현","2014-11-10","1,200","불검출","불검출","적합"
"13","기타가공품","시즈오카현","2014-11-17","1,292","불검출","불검출","적합"
