"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","99건","","409,424.","","",""
"1","건어포류","교토부","2014-11-04","300","불검출","불검출","적합"
"2","건어포류","교토부","2014-11-01","100","불검출","불검출","적합"
"3","혼합제제","미에현","2014-10-23","320","불검출","불검출","적합"
"4","치자황색소","사이타마현","2014-09-19","4","불검출","불검출","적합"
"5","치자청색소","사이타마현","2014-09-19","4","불검출","불검출","적합"
"6","홍국적색소","사이타마현","2014-09-17","4","불검출","불검출","적합"
"7","혼합장","야마나시현","2014-12-05","4,500","불검출","불검출","적합"
"8","양조간장","효고현","2014-03-02","1,262","불검출","불검출","적합"
"9","기타천연착향료","오사카부","2014-12-16","60","불검출","불검출","적합"
"10","스피루리나 제품","야마나시현","2014-12-08","699.84","불검출","불검출","적합"
"11","빵류(케이크)","돗토리현","2014-12-02","663","불검출","불검출","적합"
"12","빵류(케이크)","돗토리현","2014-12-02","707","불검출","불검출","적합"
