"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","78건","","222,975","","",""
"1","빵류(케이크)","돗토리현","2014-05-30","2,033","불검출","불검출","적합"
"2","소스류","이와테현","2014-05-15","210","불검출","불검출","적합"
"3","침출차","시즈오카현","2014-05-26","100","불검출","불검출","적합"
"4","침출차","시즈오카현","2014-05-26","200","불검출","불검출","적합"
"5","소스류","나가사키현","2014-06-07","1,323.55","불검출","불검출","적합"
"6","배아효소함유제품","고치현","2014-05-08","121.5","불검출","불검출","적합"
"7","소스류","니가타현","2014-06-06","685.15","불검출","불검출","적합"
"8","청주","오이타현","2013-12-04","120","불검출","불검출","적합"
"9","캔디류(사탕)","가나가와현","2014-05-19","812.8","불검출","불검출","적합"
"10","국수","가가와현","2014-05-22","7,175","불검출","불검출","적합"
"11","혼합제제","효고현","2014-06-10","102","불검출","불검출","적합"
"12","소스류","아이치현","2014-04-22","96","불검출","불검출","적합"
"13","칼슘","기후현","2014-06-07","946","불검출","불검출","적합"
"14","드레싱","도쿄도","2014-04-18","66","불검출","불검출","적합"
"15","곡류가공품","사이타마현","2014-05-19","200","불검출","불검출","적합"
"16","건조효모","이와테현","2014-04-28","300","불검출","불검출","적합"
"17","클로렐라 제품","기후현","2014-06-02","31.8","불검출","불검출","적합"
"18","리큐르","미에현","2014-03-17","691.2","불검출","불검출","적합"
