"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","66건","","483,300","","",""
"1","빵류(케이크)","훗카이도","2014-06-11","102.4","불검출","불검출","적합"
"2","녹차추출물/알로에전잎","기후현","2014-05-19","271","불검출","불검출","적합"
"3","발효식초","도쿄도","2014-05-26","800","불검출","불검출","적합"
"4","혼합장","후쿠오카현","2014-05-21","10","불검출","불검출","적합"
"5","과자(스낵과자)","교토부","2014-05-21","360","불검출","불검출","적합"
"6","과자(스낵과자)","아이치현","2014-05-26","140","불검출","불검출","적합"
"7","액상차","오키나와현","2014-02-14","1.5","불검출","불검출","적합"
"8","침출차","후쿠오카현","2014-05-26","6.75","불검출","불검출","적합"
"9","혼합제제","오카야마현","2014-06-10","105","불검출","불검출","적합"
"10","혼합제제","오카야마현","2014-06-16","480","불검출","불검출","적합"
"11","카레","니가타현","2014-05-22","3,672","불검출","불검출","적합"
"12","갈락토올리고당","시즈오카현","2013-10-29","200","불검출","불검출","적합"
"13","혼합제제","시가현","2014-06-16","27.6","불검출","불검출","적합"
"14","캔디류(양갱)","아이치현","2014-05-14","864","불검출","불검출","적합"
"15","과자(비스킷)","니가타현","2014-05-27","268.8","불검출","불검출","적합"
"16","탄산음료","오사카부","2014-05-07","1,500","불검출","불검출","적합"
"17","과실주","가나가와현","2014-05-02","3,060","불검출","불검출","적합"
"18","혼합제제","나가노현","2014-06-16","20","불검출","불검출","적합"
