"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","89건","","223,544","","",""
"1","건어포류","에히메현","2014-04-03","200","불검출","불검출","적합"
"2","건어포류","도야마현","2014-03-26","19.8","불검출","불검출","적합"
"3","기타가공품","아이치현","2014-02-22","150","불검출","불검출","적합"
"4","냉면","나가노현","2014-03-25","320","불검출","불검출","적합"
"5","냉면","나가노현","2014-03-23","1,000","불검출","불검출","적합"
"6","드레싱","사가현","2014-04-08","3,240","불검출","불검출","적합"
"7","캔디류(사탕)","아이치현","2014-03-26","140","불검출","불검출","적합"
"8","어묵","시마네현","2014-03-18","1,260","불검출","불검출","적합"
"9","어묵","시마네현","2014-04-14","672","불검출","불검출","적합"
"10","어묵","시마네현","2014-03-30","2,957.4","불검출","불검출","적합"
"11","어묵","시마네현","2014-02-25","350","불검출","불검출","적합"
"12","어묵","시마네현","2014-03-19","2,681.8","불검출","불검출","적합"
"13","어묵","시마네현","2014-03-24","500","불검출","불검출","적합"
"14","어묵","시마네현","2014-03-24","2,600","불검출","불검출","적합"
"15","소스류","도치기현","2014-03-22","12,000","불검출","불검출","적합"
"16","캔디류(사탕)","아이치현","2014-04-11","300","불검출","불검출","적합"
"17","캔디류(젤리)","아이치현","2014-03-31","252","불검출","불검출","적합"
"18","캔디류(젤리)","아이치현","2014-03-19","116","불검출","불검출","적합"
