"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","91건","","338,692","","",""
"1","복합조미식품","사이타마현","2014-04-03","3,000","불검출","불검출","적합"
"2","청주","아키타현","2014-04-17","390.9","불검출","불검출","적합"
"3","청주","아키타현","2014-04-17","86.4","불검출","불검출","적합"
"4","건조효모","이와테현","2014-01-27","40","불검출","불검출","적합"
"5","소주","돗토리현","2014-04-14","36","불검출","불검출","적합"
"6","청주","돗토리현","2014-04-16","259.2","불검출","불검출","적합"
"7","청주","후쿠이현","2014-04-01","65","불검출","불검출","적합"
"8","과.채가공품","오카야마현","2014-04-12","160","불검출","불검출","적합"
"9","청주","후쿠이현","2014-03-20","43","불검출","불검출","적합"
"10","청주","후쿠이현","2014-03-13","43","불검출","불검출","적합"
"11","액상커피","효고현","2014-03-25","5,550","불검출","불검출","적합"
"12","빙과류","아이치현","2014-03-15","26,624.64","불검출","불검출","적합"
"13","비타민/무기질","사이타마현","2014-04-10","44.8","불검출","불검출","적합"
"14","전분가공품","나가노현","2014-04-14","11","불검출","불검출","적합"
"15","혼합제제","효고현","2014-04-18","90","불검출","불검출","적합"
"16","식초절임(매실절임)","와카야마현","2014-04-23","128","불검출","불검출","적합"
"17","과자(스낵과자)","아이치현","2014-04-24","414","불검출","불검출","적합"
"18","비트레드","오사카부","2014-04-08","102","불검출","불검출","적합"
