"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","110건","","296,373","","",""
"1","캔디류(젤리)","나가노현","2014-03-02","165.6","불검출","불검출","적합"
"2","캔디류(사탕)","아이치현","2014-04-15","96","불검출","불검출","적합"
"3","캔디류(사탕)","아이치현","2014-04-15","120","불검출","불검출","적합"
"4","염화마그네슘","오카야마현","2014-04-10","12,000","불검출","불검출","적합"
"5","소스류","후쿠오카현","2014-04-21","500","불검출","불검출","적합"
"6","청주","도치기현","2014-04-08","561.6","불검출","불검출","적합"
"7","청주","도치기현","2014-04-08","8,424","불검출","불검출","적합"
"8","청주","도치기현","2014-04-08","777.6","불검출","불검출","적합"
"9","청주","도치기현","2014-04-08","1,036.8","불검출","불검출","적합"
"10","청주","도치기현","2014-04-07","460.8","불검출","불검출","적합"
"11","글리세린지방산에스테르","미에현","2014-04-15","144","불검출","불검출","적합"
"12","자당지방산에스테르","미에현","2014-03-07","2,880","불검출","불검출","적합"
"13","자당지방산에스테르","미에현","2014-02-20","2,880","불검출","불검출","적합"
"14","자당지방산에스테르","오사카부","2014-01-07","600","불검출","불검출","적합"
"15","소르비탄지방산에스테르","와카야마현","2014-02-07","200","불검출","불검출","적합"
"16","폴리소르베이트20","와카야마현","2013-11-12","2,016","불검출","불검출","적합"
"17","폴리소르베이트80","와카야마현","2014-02-27","2,016","불검출","불검출","적합"
"18","소르비탄지방산에스테르","와카야마현","2014-03-16","1,020","불검출","불검출","적합"
