"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 80건","","","","217,189","","",""
"1","소스","훗카이도","2018-01-25","144","불검출","불검출","적합"
"2","소스","훗카이도","2018-01-14","90","불검출","불검출","적합"
"3","과자","훗카이도","2018-01-30","112","불검출","불검출","적합"
"4","양조간장","아이치현","2018-02-08","540","불검출","불검출","적합"
"5","곡류가공품","아이치현","2018-02-05","19","불검출","불검출","적합"
"6","양조간장","효고현","2018-01-23","648","불검출","불검출","적합"
"7","양조간장","지바현","2018-02-08","7,200","불검출","불검출","적합"
"8","양조간장","지바현","2018-01-31","4,680","불검출","불검출","적합"
"9","숙면","사이타마현","2018-02-15","3,600","불검출","불검출","적합"
"10","비타민B1라우릴
황산염","오사카부","2018-01-24","1,000","불검출","불검출","적합"
"11","과자","아이치현","2018-02-24","205","불검출","불검출","적합"
"12","과자","니가타현","2018-02-28","1,989","불검출","불검출","적합"
"13","과자","아이치현","2018-02-26","106","불검출","불검출","적합"
