"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 81건","","","","97,826","","",""
"1","양념젓갈","후쿠오카현","2017-12-15","4","불검출","불검출","적합"
"2","키토산/키토
올리고당제품","오사카부","2018-03-01","63","불검출","불검출","적합"
"3","빵류","효고현","2018-04-09","581","불검출","불검출","적합"
"4","빵류","돗토리현","2018-04-04","288","불검출","불검출","적합"
"5","과자","돗토리현","2018-03-05","168","불검출","불검출","적합"
"6","혼합제제","오사카부","2018-03-27","880","불검출","불검출","적합"
"7","혼합제제","히로시마현","2018-04-06","345","불검출","불검출","적합"
"8","혼합제제","오사카부","2018-04-11","125","불검출","불검출","적합"
"9","혼합제제","오사카부","2018-04-12","100","불검출","불검출","적합"
"10","기타천연착향료","이바라키현","2018-04-05","200","불검출","불검출","적합"
"11","혼합제제","오사카부","2018-03-28","880","불검출","불검출","적합"
"12","혼합제제","오사카부","2018-04-06","500","불검출","불검출","적합"
