"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 79건","","","","755,224","","",""
"1","소스","야마가타현","2018-03-27","6,580","불검출","불검출","적합"
"2","소스","지바현","2018-02-19","129","불검출","불검출","적합"
"3","금박","이시카와현","2018-04-18","1","불검출","불검출","적합"
"4","소스","사가현","2018-03-08","6,674","불검출","불검출","적합"
"5","향신료조제품","사이타마현","2018-02-08","3,465","불검출","불검출","적합"
"6","소스","도치기현","2018-03-28","15,370","불검출","불검출","적합"
"7","혼합제제","히로시마현","2018-03-19","100","불검출","불검출","적합"
"8","혼합제제","히로시마현","2018-03-16","5","불검출","불검출","적합"
"9","혼합제제","히로시마현","2018-04-03","100","불검출","불검출","적합"
"10","혼합제제","히로시마현","2018-03-19","105","불검출","불검출","적합"
"11","혼합제제","히로시마현","2018-03-16","5","불검출","불검출","적합"
"12","혼합제제","히로시마현","2018-03-20","15","불검출","불검출","적합"
"13","혼합제제","효고현","2018-04-17","17","불검출","불검출","적합"
