"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장명태","홋카이도","2016-04-19","2,400","불검출","불검출","적합"
"18","냉장갈치","와카야마현","2016-04-19","560","불검출","불검출","적합"
"19","냉장명태","홋카이도","2016-04-19","2,410","불검출","불검출","적합"
"20","활돔 돌돔(
)","와카야마현","2016-04-19","78","불검출","불검출","적합"
"21","활돔 돌돔(
)","미야자키현","2016-04-19","726","불검출","불검출","적합"
"22","냉장갈치","와카야마현","2016-04-19","1,256","불검출","불검출","적합"
"23","냉장갈치","히로시마현","2016-04-19","1,175","불검출","불검출","적합"
"24","냉장갈치","야마구치현","2016-04-19","580","불검출","불검출","적합"
"25","활돔 벵에돔
(
)","가가와현","2016-04-19","105","불검출","불검출","적합"
"26","냉장명태","홋카이도","2016-04-19","4,820","불검출","불검출","적합"
"27","활꼬막","사가현","2016-04-19","1,000","불검출","불검출","적합"
"28","활꼬막 새꼬막
(
)","사가현","2016-04-19","1,000","불검출","불검출","적합"
"29","냉장명태","홋카이도","2016-04-19","1,200","불검출","불검출","적합"
"30","활가리비","홋카이도","2016-04-19","7,080","불검출","불검출","적합"
"31","냉장갈치","히로시마현","2016-04-19","545","불검출","불검출","적합"
