"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 120건","","","","790,882","","",""
"1","빵류","기후현","2019-10-25","126","불검출","불검출","적합"
"2","캔디류","미에현","2018-10-15","507","불검출","불검출","적합"
"3","캔디류","미에현","2018-10-03","422","불검출","불검출","적합"
"4","과자","시가현","2018-10-22","554","불검출","불검출","적합"
"5","과자","아이치현","2018-10-19","202","불검출","불검출","적합"
"6","과자","아이치현","2018-10-24","360","불검출","불검출","적합"
"7","캔디류","아이치현","2018-10-19","540","불검출","불검출","적합"
"8","캔디류","아이치현","2019-10-18","97","불검출","불검출","적합"
"9","캔디류","미에현","2019-09-01","549","불검출","불검출","적합"
"10","캔디류","아이치현","2018-10-23","576","불검출","불검출","적합"
"11","과자","나가노현","2019-08-25","126","불검출","불검출","적합"
"12","캔디류","효고현","2019-09-01","204","불검출","불검출","적합"
"13","혼합음료","야마나시현","2019-08-28","666","불검출","불검출","적합"
"14","과자","나가노현","2019-08-25","168","불검출","불검출","적합"
