"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 163건","","","","552,997","","",""
"1","과자","고치현","2018-09-19","450","불검출","불검출","적합"
"2","과자","고치현","2018-08-24","27","불검출","불검출","적합"
"3","과자","아이치현","2018-09-11","86","불검출","불검출","적합"
"4","과자","고치현","2018-09-19","48","불검출","불검출","적합"
"5","캔디류","아이치현","2018-09-12","306","불검출","불검출","적합"
"6","혼합제제","도쿄도","2018-10-17","30","불검출","불검출","적합"
"7","소주","구마모토현","2018-10-11","162","불검출","불검출","적합"
"8","곡류가공품","효고현","2018-10-02","4,672","불검출","불검출","적합"
"9","합성향료","사이타마현","2018-10-19","108","불검출","불검출","적합"
"10","향신료조제품","나라현","2018-08-02","300","불검출","불검출","적합"
"11","소스","사가현","2018-09-08","450","불검출","불검출","적합"
"12","캔디류","사이타마현","2018-08-06","196","불검출","불검출","적합"
"13","즉석조리식품","가가와현","2018-07-27","4,992","불검출","불검출","적합"
"14","캔디류","미에현","2018-10-22","127","불검출","불검출","적합"
