"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 134건","","","","782,198","","",""
"1","혼합제제","사이타마현","2018-10-19","54","불검출","불검출","적합"
"2","혼합제제","효고현","2018-10-18","60","불검출","불검출","적합"
"3","혼합제제","효고현","2018-10-19","30","불검출","불검출","적합"
"4","혼합제제","효고현","2018-10-22","45","불검출","불검출","적합"
"5","혼합제제","효고현","2018-10-18","15","불검출","불검출","적합"
"6","기타천연착향료","오사카부","2018-10-12","1,000","불검출","불검출","적합"
"7","캔디류","미에현","2018-09-18","3,717","불검출","불검출","적합"
"8","캔디류","미에현","2018-10-02","972","불검출","불검출","적합"
"9","혼합제제","오사카부","2018-10-18","105","불검출","불검출","적합"
"10","혼합제제","오사카부","2018-10-23","105","불검출","불검출","적합"
"11","미세섬유상셀룰로
스","효고현","2018-09-12","500","불검출","불검출","적합"
"12","혼합제제","시즈오카현","2018-09-27","50","불검출","불검출","적합"
"13","과자","아이치현","2018-10-22","720","불검출","불검출","적합"
