"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","107건","","244,838","","",""
"1","기타가공품","오사카부","2014-06-04","30","불검출","불검출","적합"
"2","액상커피","시가현","2014-02-18","6,600","불검출","불검출","적합"
"3","레시틴 제품","시즈오카현","2014-06-12","618.75","불검출","불검출","적합"
"4","음료베이스","가나가와현","2014-06-09","68.4","불검출","불검출","적합"
"5","청주","돗토리현","2014-06-30","140.4","불검출","불검출","적합"
"6","청주","돗토리현","2014-06-30","122.4","불검출","불검출","적합"
"7","청주","돗토리현","2014-06-30","151.2","불검출","불검출","적합"
"8","용성비타민P","기후현","2014-04-11","40","불검출","불검출","적합"
"9","청주","시즈오카현","2014-06-02","432","불검출","불검출","적합"
"10","청주","니가타현","2014-04-25","172.8","불검출","불검출","적합"
"11","청주","니가타현","2014-04-23","172.8","불검출","불검출","적합"
"12","청주","사이타마현","2014-04-09","600","불검출","불검출","적합"
"13","청주","야마가타현","2014-04-14","144","불검출","불검출","적합"
"14","청주","이시카와현","2014-05-02","172.8","불검출","불검출","적합"
"15","캔디류(사탕)","아이치현","2014-06-23","4,608","불검출","불검출","적합"
"16","캔디류(사탕)","아이치현","2014-06-24","2,160","불검출","불검출","적합"
"17","캔디류(사탕)","아이치현","2014-06-21","1,920","불검출","불검출","적합"
"18","캔디류(사탕)","아이치현","2014-06-24","300","불검출","불검출","적합"
