"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"10","액상차","효고현","2017-03-17","88,388","불검출","불검출","적합"
"11","청주","야마가타현","2017-03-14","194","불검출","불검출","적합"
"12","청주","나라현","2017-03-01","86","불검출","불검출","적합"
"13","청주","고치현","2017-03-03","432","불검출","불검출","적합"
"14","청주","이시카와현","2017-03-03","36","불검출","불검출","적합"
"15","청주","나라현","2017-03-13","173","불검출","불검출","적합"
"16","청주","나라현","2017-02-17","432","불검출","불검출","적합"
"17","소주","미야자키현","2017-02-20","173","불검출","불검출","적합"
"18","L-트립토판","야마구치현","2017-01-11","100","불검출","불검출","적합"
"19","L-트립토판","야마구치현","2016-10-19","100","불검출","불검출","적합"
"20","유탕면류","아이치현","2017-03-18","106","불검출","불검출","적합"
"21","유탕면류","아이치현","2017-03-24","462","불검출","불검출","적합"
"22","유탕면류","아이치현","2017-03-24","119","불검출","불검출","적합"
"23","유탕면류","아이치현","2017-03-06","481","불검출","불검출","적합"
"24","인스턴트커피","사이타마현","2017-01-24","54","불검출","불검출","적합"
"25","인스턴트커피","사이타마현","2017-02-09","43","불검출","불검출","적합"
"26","청주","효고현","2017-02-20","648","불검출","불검출","적합"
"27","청주","효고현","2017-02-07","792","불검출","불검출","적합"
"28","청주","효고현","2017-02-06","1,800","불검출","불검출","적합"
"29","청주","효고현","2017-02-02","396","불검출","불검출","적합"
"30","장류절임","도야마현","2017-02-25","32","불검출","불검출","적합"
"31","뮤코다당.단백제품","시즈오카현","2016-11-04","11","불검출","불검출","적합"
"32","기타가공품","지바현","2017-03-22","47","불검출","불검출","적합"
"33","기타가공품","지바현","2017-03-09","101","불검출","불검출","적합"
"34","맥주","교토부","2017-03-06","130,974","불검출","불검출","적합"
"35","침출차","교토부","2017-03-29","432","불검출","불검출","적합"
