"","","제조·생산지","제조일자","중량(kg)","검사결과","",""
"순 번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","84건","","337,129","","",""
"1","혼합제제","기후현","2014-04-18","1.5","불검출","불검출","적합"
"2","레시틴 제품","시즈오카현","2014-04-21","618.75","불검출","불검출","적합"
"3","양조간장","오사카부","2014-04-18","750","불검출","불검출","적합"
"4","당류가공품","오키나와현","2014-04-21","120","불검출","불검출","적합"
"5","풀루란","오카야마현","2014-04-08","400","불검출","불검출","적합"
"6","당류가공품","오카야마현","2014-03-27","32,000","불검출","불검출","적합"
"7","혼합제제","효고현","2014-05-07","51","불검출","불검출","적합"
"8","합성착향료","야마가타현","2014-04-21","30","불검출","불검출","적합"
"9","일반증류주","시즈오카현","2014-02-13","8,800","불검출","불검출","적합"
"10","캔디류(캐러멜)","도치기현","2014-04-04","3,063.64","불검출","불검출","적합"
"11","기타전분","가고시마현","2013-12-10","20","불검출","불검출","적합"
"12","캔디류(캐러멜)","도치기현","2014-04-03","69.84","불검출","불검출","적합"
"13","캔디류(캐러멜)","도치기현","2014-03-24","89.28","불검출","불검출","적합"
"14","캔디류(캐러멜)","도치기현","2014-04-07","1,341","불검출","불검출","적합"
"15","양조간장","효고현","2014-03-14","561.6","불검출","불검출","적합"
"16","과자(쿠키)","군마현","2014-04-05","326.4","불검출","불검출","적합"
"17","과자(쿠키)","군마현","2014-04-02","372.4","불검출","불검출","적합"
"18","곡류가공품","아이치현","2014-03-10","12.6","불검출","불검출","적합"
