"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","120","","155,983","","",""
"1","심황색소(울금색소)","오사카부","2015-02-18","200","불검출","불검출","적합"
"2","당절임","와카야마현","2014-11-01","252","불검출","불검출","적합"
"3","과자(비스킷)","군마현","2015-02-03","2,139.37","불검출","불검출","적합"
"4","과자(비스킷)","군마현","2015-02-03","269.7","불검출","불검출","적합"
"5","패밀리밀크초콜릿","시즈오카현","2014-12-26","12","불검출","불검출","적합"
"6","과자(스낵과자)","아이치현","2015-02-16","1,035","불검출","불검출","적합"
"7","혼합제제","사이타마현","2015-02-17","30","불검출","불검출","적합"
"8","국수","구마모토현","2015-01-10","275.2","불검출","불검출","적합"
"9","시클로덱스트린
(알파,베타,감마)","시즈오카현","2014-12-13","500","불검출","불검출","적합"
"10","냉면","구마모토현","2015-01-28","1,800","불검출","불검출","적합"
"11","냉면","구마모토현","2015-01-28","6,880","불검출","불검출","적합"
"12","과자(스낵과자)","이시카와현","2015-02-03","86.4","불검출","불검출","적합"
