"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","95","","555,581","","",""
"1","준초콜릿","에히메현","2015-01-22","120","불검출","불검출","적합"
"2","준초콜릿","에히메현","2015-01-22","182.4","불검출","불검출","적합"
"3","준초콜릿","에히메현","2015-01-22","187.2","불검출","불검출","적합"
"4","당류가공품","에히메현","2015-01-19","38.4","불검출","불검출","적합"
"5","밀크초콜릿","가나가와현","2014-12-26","33.6","불검출","불검출","적합"
"6","혼합제제","도쿄도","2015-02-10","190","불검출","불검출","적합"
"7","된장","오사카부","2015-02-10","600","불검출","불검출","적합"
"8","과자(한과류)","이시카와현","2014-12-11","35.72","불검출","불검출","적합"
"9","청주","니가타현","2015-01-06","72","불검출","불검출","적합"
"10","당류가공품","교토부","2014-12-02","59.4","불검출","불검출","적합"
"11","당류가공품","교토부","2014-11-02","108","불검출","불검출","적합"
"12","복합조미식품","오사카부","2015-02-06","75","불검출","불검출","적합"
