"","","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"순번","품목명","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","125","","350,905","","",""
"1","효모추출물제품","오이타현","2014-12-02","21","불검출","불검출","적합"
"2","오메가-3지방산함
유유지
제품","가고시마현","2014-11-13","17.32","불검출","불검출","적합"
"3","복합조미식품","가나가와현","2015-01-18","76,000","불검출","불검출","적합"
"4","카라기난","미에현","2015-02-02","60","불검출","불검출","적합"
"5","캔디류(젤리)","아이치현","2015-01-26","1,196","불검출","불검출","적합"
"6","당류가공품","교토부","2015-01-22","202.5","불검출","불검출","적합"
"7","갈락토올리고당","훗카이도","2014-03-12","100","불검출","불검출","적합"
"8","혼합제제","가나가와현","2015-02-04","15","불검출","불검출","적합"
"9","캔디류(사탕)","아이치현","2015-02-10","1,980","불검출","불검출","적합"
"10","캔디류(사탕)","미에현","2015-02-13","224","불검출","불검출","적합"
"11","청주","이와테현","2015-01-22","85.2","불검출","불검출","적합"
"12","청주","이와테현","2014-11-26","21.6","불검출","불검출","적합"
