"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 17건","","","","13,164","","",""
"1","혼합제제","사이타마현","2017-09-05","612","불검출","불검출","적합"
"2","발효식초","가고시마현","2017-06-08","120","불검출","불검출","적합"
"3","과자(스낵과자)","이바라키현","2017-09-06","6,480","불검출","불검출","적합"
"4","발효식초","가고시마현","2017-08-18","564","불검출","불검출","적합"
"5","발효식초","가고시마현","2017-06-08","30","불검출","불검출","적합"
"6","조미건어포","오사카부","2017-08-28","600","불검출","불검출","적합"
"7","과자(스낵과자)","니가타현","2017-07-14","101","불검출","불검출","적합"
"8","소스류","히로시마현","2017-09-13","2,070","불검출","불검출","적합"
"9","복합조미식품","히로시마현","2017-04-03","100","불검출","불검출","적합"
