"순번","품      목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/Kg)","요오드
(기준:300Bq/Kg)","판정"
"합계","","-","-","168,261","-","-","-"
"1","활돔(참돔)","에히메현","2016-10-27","12,386","불검출","불검출","적합"
"2","활돔(참돔)","에히메현","2016-10-27","16,398","불검출","불검출","적합"
"3","활돔(참돔)","에히메현","2016-10-27","9,756","불검출","불검출","적합"
"4","냉동갈치","와카야마현","2016-10-27","7,850","불검출","불검출","적합"
"5","활우렁쉥이","홋카이도","2016-10-27","9,892","불검출","불검출","적합"
"6","냉동가리비
(외투막)","홋카이도","2016-10-27","11,550","불검출","불검출","적합"
"7","냉장명태","홋카이도","2016-10-27","3,000","불검출","불검출","적합"
"8","냉장갈치","후쿠오카현","2016-10-27","770","불검출","불검출","적합"
"9","냉장명태","홋카이도","2016-10-27","2,750","불검출","불검출","적합"
"10","냉장명태","홋카이도","2016-10-27","2,340","불검출","불검출","적합"
"11","냉장명태","홋카이도","2016-10-27","2,750","불검출","불검출","적합"
"12","냉장홍어","홋카이도","2016-10-27","287","불검출","불검출","적합"
"13","냉장명태","홋카이도","2016-10-27","2,500","불검출","불검출","적합"
"14","냉장명태","홋카이도","2016-10-27","1,230","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2016-10-27","3,718","불검출","불검출","적합"
"16","활우렁쉥이","홋카이도","2016-10-27","8,698","불검출","불검출","적합"
