"제조일자","","","","수입","검사결과","",""
"순번
품목명
제조·생산지
(유통기한)","","","","중량
(kg)","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 103건","","","","151,795","","",""
"1","혼합장","나가노현","2018-12-07","14,000","불검출","불검출","적합"
"2","카레(커리)","나라현","2018-11-26","1,000","불검출","불검출","적합"
"3","캔디류","나가노현","2018-11-02","326","불검출","불검출","적합"
"4","탄산음료","오사카부","2018-10-11","1,800","불검출","불검출","적합"
"5","액상차","미에현","2018-12-03","600","불검출","불검출","적합"
"6","탄산음료","사가현","2018-12-01","3,622","불검출","불검출","적합"
"7","탄산음료","사가현","2018-12-03","5,875","불검출","불검출","적합"
"8","탄산음료","사가현","2018-12-04","5,134","불검출","불검출","적합"
"9","탄산음료","사가현","2018-12-02","4,356","불검출","불검출","적합"
"10","액상차","미에현","2018-10-30","600","불검출","불검출","적합"
"11","빵류","기후현","2018-12-09","122","불검출","불검출","적합"
"12","과자","나가노현","2018-12-10","468","불검출","불검출","적합"
"13","캔디류","사이타마현","2018-12-04","285","불검출","불검출","적합"
"14","캔디류","사이타마현","2018-12-03","285","불검출","불검출","적합"
