"검사결과
수입
제조일자","","","","","","",""
"순번
품목명
제조·생산지
중량
세슘
요오드
(유통기한)
판정
(kg)
(기준:100Bq/kg)
(기준:300Bq/kg)","","","","","","",""
"146","카레","니가타현","2017-11-09","600","불검출","불검출","적합"
"143","복합조미식품","니가타현","2017-11-15","768","불검출","불검출","적합"
"144","기타가공품","미야기현","2017-11-30","1,000","불검출","불검출","적합"
"147","복합조미식품","와카야마현","2017-12-16","530","불검출","불검출","적합"
"148","가공유지","와카야마현","2017-10-16","170","불검출","불검출","적합"
"149","혼합장","야마나시현","2017-12-11","8,400","불검출","불검출","적합"
"150","혼합장","나가노현","2017-12-13","4,000","불검출","불검출","적합"
"151","빵류","오사카부","2017-12-15","279","불검출","불검출","적합"
"152","캔디류(젤리)","후쿠시마현","2017-09-01","5","불검출","불검출","적합"
"153","향미유","사이타마현","2017-11-20","140","불검출","불검출","적합"
"154","과자(스낵과자)","야마가타현","2017-11-14","120","불검출","불검출","적합"
"155","과자(스낵과자)","야마가타현","2017-11-14","296","불검출","불검출","적합"
