"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"17","냉장갈치","오이타현","2015-10-28","981","불검출","불검출","적합"
"18","냉장갈치","야마구치현","2015-10-28","815","불검출","불검출","적합"
"19","냉장갈치","에히메현","2015-10-28","380","불검출","불검출","적합"
"20","냉장돔 황돔(
)","나가사키현","2015-10-28","176","불검출","불검출","적합"
"21","냉장가오리","에히메현","2015-10-28","1,546","불검출","불검출","적합"
"22","활장어 먹장어
(
)","야마구치현","2015-10-28","369","불검출","불검출","적합"
"23","활장어 먹장어
(
)","나가사키현","2015-10-28","1,389","불검출","불검출","적합"
"24","냉장갈치","오이타현","2015-10-28","745","불검출","불검출","적합"
"25","활가리비","홋카이도","2015-10-28","5,986","불검출","불검출","적합"
"26","활장어 먹장어
(
)","후쿠오카현","2015-10-28","2,184","불검출","불검출","적합"
"27","활장어 먹장어
(
)","시마네현","2015-10-28","2,097","불검출","불검출","적합"
"28","활장어 먹장어
(
)","후쿠오카현","2015-10-28","1,148","불검출","불검출","적합"
"29","활게 참게(
)","야마구치현","2015-10-28","840","불검출","불검출","적합"
