"순번","품
목","생산지","검사
완료일","중량
(Kg)","검사결과","",""
"","","","","","세슘
(
기준
:100Bq/Kg)","요오드
(
기준
:300Bq/Kg)","판정"
"합계","건48","-","-","191,182","-","-","-"
"1","활돔 벵에돔
(
)","나가사키현","2015-10-27","1,974","불검출","불검출","적합"
"2","활돔 참돔(
)","구마모토현","2015-10-27","9,519","불검출","불검출","적합"
"3","활돔 참돔(
)","구마모토현","2015-10-27","5,549","불검출","불검출","적합"
"4","활가리비","홋카이도","2015-10-27","7,500","불검출","불검출","적합"
"5","활가리비","홋카이도","2015-10-27","7,500","불검출","불검출","적합"
"6","활가리비","홋카이도","2015-10-27","6,574","불검출","불검출","적합"
"7","활가리비","홋카이도","2015-10-27","7,395","불검출","불검출","적합"
"8","활가리비","홋카이도","2015-10-27","5,900","불검출","불검출","적합"
"9","활돔 강담돔
(
)","나가사키현","2015-10-27","598","불검출","불검출","적합"
"10","활바리 자바리
(
)","나가사키현","2015-10-27","109","불검출","불검출","적합"
"11","냉동전갱이(F)","나가사키현","2015-10-27","30","불검출","불검출","적합"
"12","냉동쥐치 말쥐치
(
)","나가사키현","2015-10-27","5","불검출","불검출","적합"
"13","냉장전갱이 자숙(
)","나가사키현","2015-10-27","4","불검출","불검출","적합"
"14","냉장명태","홋카이도","2015-10-27","4,600","불검출","불검출","적합"
"15","냉장홍어","홋카이도","2015-10-27","3,291","불검출","불검출","적합"
"16","냉장갈치","와카야마현","2015-10-27","528","불검출","불검출","적합"
