"순번","품목명","제조·생산지","제조일자","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"총 94건","","","","785,240","","",""
"1","국수","가가와현","2017-02-05","2,400","불검출","불검출","적합"
"2","국수","가가와현","2017-01-25","5,000","불검출","불검출","적합"
"3","국수","히로시마현","2016-08-20","3,600","불검출","불검출","적합"
"4","국수","히로시마현","2016-08-20","2,160","불검출","불검출","적합"
"5","산화마그네슘","도쿠시마현","2017-02-15","500","불검출","불검출","적합"
"6","소스류","에히메현","2017-02-02","432","불검출","불검출","적합"
"7","소스류","에히메현","2017-01-26","9,058","불검출","불검출","적합"
"8","혼합제제","도쿄도","2017-03-13","70","불검출","불검출","적합"
"9","국","오사카부","2017-03-09","50","불검출","불검출","적합"
"10","아연","오사카부","2017-02-23","16","불검출","불검출","적합"
"11","청국장","도쿄도","2017-03-10","486","불검출","불검출","적합"
"12","혼합제제","효고현","2017-03-02","170","불검출","불검출","적합"
"13","소스류","교토부","2017-03-07","2,190","불검출","불검출","적합"
