"순번","품목명","제조·생산지","제조일자","중량
(kg)","검사결과","",""
"","","","","","세슘
요오드
판정
(기준:100Bq/kg)
(기준:300Bq/kg)","",""
"합계","","111","","367,285","","",""
"1","캔디류(젤리)","아이치현","2017-02-06","3,780","불검출","불검출","적합"
"2","밀크초콜릿","가나가와현","2017-01-27","518","불검출","불검출","적합"
"3","청주","효고현","2017-01-12","3,240","불검출","불검출","적합"
"4","청주","효고현","2016-12-26","36","불검출","불검출","적합"
"5","청주","효고현","2017-01-12","9,180","불검출","불검출","적합"
"6","청주","효고현","2017-01-12","2,160","불검출","불검출","적합"
"7","청주","아이치현","2017-01-06","1,512","불검출","불검출","적합"
"8","혼합제제","오사카부","2017-02-06","75","불검출","불검출","적합"
"9","캔디류(젤리)","나라현","2017-01-31","1,008","불검출","불검출","적합"
"10","혼합제제","군마현","2016-11-08","5","불검출","불검출","적합"
"11","혼합제제","군마현","2016-11-08","5","불검출","불검출","적합"
"12","캔디류(사탕)","후쿠시마현","2016-11-02","176","불검출","불검출","적합"
