"순번","품목명","제조·생산지","제조일자
(유통기한)","수입
중량
(kg)","검사결과","",""
"","","","","","세슘
(기준:100Bq/kg)","요오드
(기준:300Bq/kg)","판정"
"14","혼합제제","오카야마현","2018-12-27","15","불검출","불검출","적합"
"15","향신료조제품","미야기현","2018-11-05","3,465","불검출","불검출","적합"
"16","청주","니가타현","2018-12-11","60","불검출","불검출","적합"
"17","혼합제제","히로시마현","2018-12-17","150","불검출","불검출","적합"
"18","트랜스글루코시다아제","시가현","2018-10-12","501","불검출","불검출","적합"
"19","전분가공품","효고현","2018-11-13","1","불검출","불검출","적합"
"20","전분가공품","효고현","2018-11-13","1","불검출","불검출","적합"
"21","개별인정형
건강기능식품","훗카이도","2018-04-20","300","불검출","불검출","적합"
"22","코엔자임Q10(원료성)","효고현","2018-10-16","150","불검출","불검출","적합"
"23","과자","고치현","2018-11-30","65","불검출","불검출","적합"
"24","과자","아이치현","2018-11-30","97","불검출","불검출","적합"
"25","과자","고치현","2018-12-05","560","불검출","불검출","적합"
"26","과자","고치현","2018-11-21","54","불검출","불검출","적합"
"27","과자","고치현","2018-12-06","320","불검출","불검출","적합"
"28","캔디류","아이치현","2018-11-09","224","불검출","불검출","적합"
"29","캔디류","아이치현","2018-11-20","144","불검출","불검출","적합"
"30","청주","교토부","2018-12-01","3,840","불검출","불검출","적합"
"31","청주","교토부","2018-12-24","9,677","불검출","불검출","적합"
"32","청주","교토부","2018-12-14","3,370","불검출","불검출","적합"
"33","자당지방산에스테르","미에현","2018-11-06","3,080","불검출","불검출","적합"
"34","혼합제제","미에현","2018-12-11","3,600","불검출","불검출","적합"
"35","혼합제제","미에현","2018-11-05","16","불검출","불검출","적합"
"36","초콜릿가공품","이바라키현","2018-12-11","84","불검출","불검출","적합"
"37","초콜릿가공품","이바라키현","2018-11-09","120","불검출","불검출","적합"
"38","초콜릿가공품","이바라키현","2018-10-05","84","불검출","불검출","적합"
"39","청주","교토부","2018-12-15","3,600","불검출","불검출","적합"
"40","초콜릿가공품","이바라키현","2018-11-02","96","불검출","불검출","적합"
"41","초콜릿가공품","이바라키현","2018-11-08","120","불검출","불검출","적합"
"42","초콜릿가공품","이바라키현","2018-12-10","48","불검출","불검출","적합"
"43","당류가공품","오사카부","2018-11-23","122","불검출","불검출","적합"
"44","혼합제제","사이타마현","2018-12-17","50","불검출","불검출","적합"
"45","혼합제제","오사카부","2018-12-25","30","불검출","불검출","적합"
"46","혼합제제","가나가와현","2018-12-25","315","불검출","불검출","적합"
"47","청주","야마가타현","2018-11-15","540","불검출","불검출","적합"
